"CoreId","Identifier","type","rightsHolder","creator","accessURI","format","variantLiteral","license"
"113396401@OBS","https://observation.org/photos/9999704/","StillImage","Otto Kwak","Otto Kwak","https://observation.org/photos/9999704.jpg","image/jpeg","Best Quality","CC0"
"113395962@OBS","https://observation.org/photos/9999703/","StillImage","Harry Janssen","Harry Janssen","https://observation.org/photos/9999703.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"1723060@OBS","https://observation.org/photos/99996/","StillImage","Marc Budding","Marc Budding","https://observation.org/photos/99996.jpg","image/jpeg","Best Quality","All rights reserved"
"113396387@OBS","https://observation.org/photos/9999695/","StillImage","Mark Ekker","Mark Ekker","https://observation.org/photos/9999695.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395872@OBS","https://observation.org/photos/9999689/","StillImage","Sonja & Lex","Sonja & Lex","https://observation.org/photos/9999689.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113342525@OBS","https://observation.org/photos/9999673/","StillImage","Leon Olsthoorn","Leon Olsthoorn","https://observation.org/photos/9999673.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113342525@OBS","https://observation.org/photos/9999671/","StillImage","Leon Olsthoorn","Leon Olsthoorn","https://observation.org/photos/9999671.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"106060225@OBS","https://observation.org/photos/9999661/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999661.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"106060225@OBS","https://observation.org/photos/9999659/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999659.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113393380@OBS","https://observation.org/photos/9999646/","StillImage","Hans Diepstraten","Hans Diepstraten","https://observation.org/photos/9999646.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395990@OBS","https://observation.org/photos/9999639/","StillImage","Bert Stegeman","Bert Stegeman","https://observation.org/photos/9999639.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"106060220@OBS","https://observation.org/photos/9999635/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999635.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395930@OBS","https://observation.org/photos/9999633/","StillImage","Henny de Bruin","Henny de Bruin","https://observation.org/photos/9999633.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395930@OBS","https://observation.org/photos/9999632/","StillImage","Henny de Bruin","Henny de Bruin","https://observation.org/photos/9999632.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"106060221@OBS","https://observation.org/photos/9999630/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999630.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"106060221@OBS","https://observation.org/photos/9999629/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999629.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395953@OBS","https://observation.org/photos/9999623/","StillImage","Leon Olsthoorn","Leon Olsthoorn","https://observation.org/photos/9999623.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395953@OBS","https://observation.org/photos/9999622/","StillImage","Leon Olsthoorn","Leon Olsthoorn","https://observation.org/photos/9999622.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395953@OBS","https://observation.org/photos/9999621/","StillImage","Leon Olsthoorn","Leon Olsthoorn","https://observation.org/photos/9999621.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395872@OBS","https://observation.org/photos/9999612/","StillImage","Sonja & Lex","Sonja & Lex","https://observation.org/photos/9999612.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"45689559@OBS","https://observation.org/photos/999960/","StillImage","Folkert de Boer","Folkert de Boer","https://observation.org/photos/999960.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395931@OBS","https://observation.org/photos/9999607/","StillImage","Leon Olsthoorn","Leon Olsthoorn","https://observation.org/photos/9999607.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395914@OBS","https://observation.org/photos/9999601/","StillImage","Leon Olsthoorn","Leon Olsthoorn","https://observation.org/photos/9999601.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"1723060@OBS","https://observation.org/photos/99995/","StillImage","Marc Budding","Marc Budding","https://observation.org/photos/99995.jpg","image/jpeg","Best Quality","All rights reserved"
"113395897@OBS","https://observation.org/photos/9999594/","StillImage","Leon Olsthoorn","Leon Olsthoorn","https://observation.org/photos/9999594.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395875@OBS","https://observation.org/photos/9999593/","StillImage","Adrie van Heerden","Adrie van Heerden","https://observation.org/photos/9999593.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"45689448@OBS","https://observation.org/photos/999958/","StillImage","Hans Bouman","Hans Bouman","https://observation.org/photos/999958.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"45689432@OBS","https://observation.org/photos/999956/","StillImage","Hans Bouman","Hans Bouman","https://observation.org/photos/999956.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395618@OBS","https://observation.org/photos/9999568/","StillImage","Ernst Raaphorst","Ernst Raaphorst","https://observation.org/photos/9999568.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395618@OBS","https://observation.org/photos/9999567/","StillImage","Ernst Raaphorst","Ernst Raaphorst","https://observation.org/photos/9999567.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395618@OBS","https://observation.org/photos/9999566/","StillImage","Ernst Raaphorst","Ernst Raaphorst","https://observation.org/photos/9999566.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"106060226@OBS","https://observation.org/photos/9999551/","StillImage","Harm Alberts","Harm Alberts","https://observation.org/photos/9999551.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"45689428@OBS","https://observation.org/photos/999954/","StillImage","Bert Zeijlmaker","Bert Zeijlmaker","https://observation.org/photos/999954.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"45689421@OBS","https://observation.org/photos/999953/","StillImage","Hans Bouman","Hans Bouman","https://observation.org/photos/999953.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395392@OBS","https://observation.org/photos/9999538/","StillImage","Henny de Bruin","Henny de Bruin","https://observation.org/photos/9999538.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395392@OBS","https://observation.org/photos/9999536/","StillImage","Henny de Bruin","Henny de Bruin","https://observation.org/photos/9999536.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
"113395392@OBS","https://observation.org/photos/9999535/","StillImage","Henny de Bruin","Henny de Bruin","https://observation.org/photos/9999535.jpg","image/jpeg","Best Quality","CC BY-NC-ND 4.0"
