"id","occurrenceID","catalogNumber","basisOfRecord","collectionCode","scientificName","taxonRank","kingdom","family","higherClassification","vernacularName","previousIdentifications","individualCount","lifeStage","sex","longitudeDecimal","latitudeDecimal","geodeticDatum","dataGeneralizations","coordinateUncertaintyInMeters","continent","country","countryCode","stateProvince","locality","habitat","recordedBy","eventID","eventDate","eventTime","samplingProtocol","behavior","associatedTaxa","references","rightsHolder","license","modified"
"99999836@OBS","https://observation.org/observation/99999836","OBS.99999836","HumanObservation","Observations","Phoca vitulina","species","Animalia","SEALS_PHOCIDAE","Animalia|SEALS_PHOCIDAE","Harbour Seal",NA,1,"unknown","undetermined",4.5,52.45,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Holland","IJmuiden - Noordzee","",NA,NA,"2015-03-14","",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999836","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999834@OBS","https://observation.org/observation/99999834","OBS.99999834","HumanObservation","Observations","Anthus berthelotii","species","Animalia","PIPITS_EN_WAGTAILS_MOTACILLIDAE","Animalia|PIPITS_EN_WAGTAILS_MOTACILLIDAE","Berthelot's Pipit",NA,1,"unknown","undetermined",-13.8615200675,28.3908925374,"WGS84","",100,"Europe","Spain","ES","","Spain - Fuerteventura ","",NA,NA,"2015-03-12","08:14",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999834","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999830@OBS","https://observation.org/observation/99999830","OBS.99999830","HumanObservation","Observations","Anas crecca","species","Animalia","DUCKS_GEESE_AND_SWANS_ANATIDAE","Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE","Eurasian Teal",NA,40,"unknown","undetermined",5.25,51.5,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Kampina - Overstromingsvlakte van de Beerze ","little (lowland)rivers and peat streams",NA,NA,"2015-03-11","15:15",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999830","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999818@OBS","https://observation.org/observation/99999818","OBS.99999818","HumanObservation","Observations","Phoenicopterus roseus","species","Animalia","FLAMINGOS_PHOENICOPTERIDAE","Animalia|FLAMINGOS_PHOENICOPTERIDAE","Greater Flamingo",NA,4,"subadult","undetermined",4.4,52.1,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Zuid-Holland","Leidschendam - Vogelplas Starrevaart","",NA,NA,"2015-03-14","15:40",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999818","Stichting Natuurinformatie","CC BY-NC 4.0","2015/06/26"
"99999811@OBS","https://observation.org/observation/99999811","OBS.99999811","HumanObservation","Observations","Ardea alba","species","Animalia","HERONS_ARDEIDAE","Animalia|HERONS_ARDEIDAE","Great Egret",NA,1,"unknown","undetermined",6.15,53.3,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Friesland","Lauwersmeer - Ezumakeeg Zuid","",NA,NA,"2015-03-14","16:00",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999811","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999807@OBS","https://observation.org/observation/99999807","OBS.99999807","HumanObservation","Observations","Arenaria interpres","species","Animalia","SANDPIPERS_AND_ALLIES_SCOLOPACIDAE","Animalia|SANDPIPERS_AND_ALLIES_SCOLOPACIDAE","Ruddy Turnstone",NA,1,"unknown","undetermined",-13.8590095199,28.3917608681,"WGS84","",10,"Europe","Spain","ES","","Spain - Fuerteventura ","",NA,NA,"2015-03-12","07:48",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999807","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999805@OBS","https://observation.org/observation/99999805","OBS.99999805","HumanObservation","Observations","Anas acuta","species","Animalia","DUCKS_GEESE_AND_SWANS_ANATIDAE","Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE","Northern Pintail",NA,100,"unknown","undetermined",6.15,53.3,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Friesland","Lauwersmeer - Ezumakeeg Zuid","",NA,NA,"2015-03-14","16:00",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999805","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999802@OBS","https://observation.org/observation/99999802","OBS.99999802","HumanObservation","Observations","Ardea cinerea","species","Animalia","HERONS_ARDEIDAE","Animalia|HERONS_ARDEIDAE","Grey Heron",NA,1,"unknown","undetermined",5.05,51.7,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Noord-Brabant","Waalwijk - Buitenpolder van Baardwijk","",NA,NA,"2015-03-14","15:25",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999802","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"99999801@OBS","https://observation.org/observation/99999801","OBS.99999801","HumanObservation","Observations","Mergus merganser","species","Animalia","DUCKS_GEESE_AND_SWANS_ANATIDAE","Animalia|DUCKS_GEESE_AND_SWANS_ANATIDAE","Common Merganser",NA,4,"unknown","undetermined",5.85,52.5,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Flevoland","Vossemeer - Roggebotssluis NW","",NA,NA,"2015-03-13","",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.99999801","Stichting Natuurinformatie","CC BY-NC 4.0","2015/03/14"
"999997@OBS","https://observation.org/observation/999997","OBS.999997","HumanObservation","Observations","Ranunculus flammula","species","Plantae","RANUNCULACEAE","Plantae|RANUNCULACEAE","Lesser Spearwort",NA,1,"unknown","undetermined",6.75,52.1,"WGS84","WGS84 coordinates generalized with formula: `coord = floor(coord * 20) / 20`",5000,"Europe","The Netherlands","NL","Overijssel","Haaksbergerveen - Zuidwestelijk deel","",NA,NA,"1978-07-01","",NA,NA,NA,"https://data.biodiversitydata.nl/obsint/observation/OBS.999997","Stichting Natuurinformatie","CC BY-NC 4.0","2013/11/13"
